"targets","layer","title","description","citation","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique"
"AO","rn_ao_access","Artisanal Fishing Opportunities model variable","management effectiveness and opportunity (Mora et al 2009)","6B","value","r_mora_s4_2013a.csv","rgn_id",,,,"value",,TRUE,0,0.854,TRUE,,,,222
"AO","rny_ao_need","Artisanal Fishing Opportunities model variable","Need: logged and rescaled per capita gross domestic product (pcGDP) adjusted by the purchasing power parity (PPP).","6B","value","rgn_wb_gdppcppp_rescaled_year_2012b.csv","rgn_id",,,"year","value",,TRUE,0.389403365,1,TRUE,,,,222
"pressures | CP","rnk_cp_habitat_extent_rank","Coastal Protection model and Pressures variable","habitat extent (Ak) * habitat rank (wk)","6E","extent_rank","cp_habitat_extent_rank.csv","rgn_id",,"habitat",,"extent_rank",,TRUE,1.7465,3015240.885416,FALSE,,,,222
"pressures | CS","rnk_cs_habitat_extent","Carbon Storage model variable","habitat extent (Ak)","6D","km2","cs_habitat_extent.csv","rgn_id",,"habitat",,"km2",,TRUE,0.82,39491,FALSE,,,,222
"CW","rn_cw_pesticide_trend","Chemical pollution trend","FAO pesticide trends","6I","trend.score","GL-NCEAS_CW_Pesticides_trend_v2012a.csv","rgn_id",,,,"trend.score",,TRUE,-1,1.3291800353866,FALSE,,,,222
"CW","rn_cw_fertilizer_trend","Nutrients trend","FAO fertilizer trends","6I","trend.score","GL-NCEAS_CW_Fertilizers_trend_v2012a.csv","rgn_id",,,,"trend.score",,TRUE,-1,1,FALSE,,,,222
"CW","rn_cw_pathogen_trend","Pathogen pollution trend","","6I","trend","po_pathogens_trend_sanitation2008to2011_popninland25km2008to2013.csv","rgn_id",,,,"trend",,TRUE,-0.0940269277341567,0.0324969508670384,FALSE,,,,222
"CW","rn_cw_coastalpopn_trend","Coastal population trend (annual)","proxy for trash trend","6I","trend","rgn_popn5yrtrend_inland25mi_2007to2012.csv","rgn_id",,,,"trend",,TRUE,-0.188549514549214,0.274677444427172,FALSE,,,,222
"FIS | NP","rn_fis_status","fisheries status","","6A","status","FIS_Status_2012a_lyr.csv","rgn_id",,,"year","status",,TRUE,0,0.86,TRUE,,,,222
"FIS","rn_fis_trend","fisheries trend","","6A","trend","FIS_Trend_2012a_lyr.csv","rgn_id",,,,"trend",,TRUE,-0.181428571,0.455714286,FALSE,,,,222
"FP","rn_fp_wildcaught_weight","weighting factor","proportional yield of wild caught fisheries","6A","w_fis","GL_FP_wildcaught_weight_v2012a_lyr.csv","rgn_id",,,,"w_fis",,TRUE,0.146651471,1,TRUE,,,,222
"pressures | HAB","rnk_hab_presence","Habitats model variable","habitat presence (wk)","6J","boolean","hab_habitat_presence.csv","rgn_id",,"habitat",,"boolean",,TRUE,1,1,TRUE,,,,222
"HAB | CS | CP","rnk_hab_extent","Habitats extent","","6J","km2","hab_habitat_extent.csv","rgn_id",,"habitat",,"km2",,TRUE,0,3804040,FALSE,,,,222
"HAB | CS | CP","rnk_hab_health","Habitats health condition data","","6J","health","hab_habitat_health_disaggregatedNature2012.csv","rgn_id",,"habitat",,"health",,TRUE,0,1,TRUE,,,,222
"HAB | CS | CP","rnk_hab_trend","Habitats health trend","","6J","trend","hab_habitat_trend_disaggregatedNature2012.csv","rgn_id",,"habitat",,"trend",,TRUE,-1,1,FALSE,,,,222
"ICO","rnk_ico_spp_extinction_status","Iconic species extinction risk category status","","6H","category","ico_spp_extinction_status.csv","rgn_id",,"sciname",,,"category",TRUE,,,,,,,222
"ICO","rnk_ico_spp_popn_trend","Iconic species population trend","","6H","popn_trend","ico_spp_popn_trend.csv","rgn_id",,"sciname",,,"popn_trend",TRUE,,,,,,,222
"LE | pressures","rnk_le_sector_weight","Coastal Livelihoods & Economies weighting for pressures","weighting by sector (defaulting to 1)","6F","weight","le_sector_weight_disaggregateNature2012b.csv","rgn_id",,"sector",,"weight",,TRUE,1,1,TRUE,,,,222
"LSP","rny_lsp_prot_area_inland1km","Lasting Special Places model variable","coastal protected areas (inland 1km)","6H","area_km2","lsp_prot_area_inland1km.csv","rgn_id",,,"year","area_km2",,TRUE,0.87325077158,28756.1479081,FALSE,,,,222
"LSP","rny_lsp_prot_area_offshore3nm","Lasting Special Places model variable","coastal marine protected areas (offshore 3nm)","6H","area_km2","lsp_prot_area_offshore3nmb.csv","rgn_id",,,"year","area_km2",,TRUE,0,56272.27972,FALSE,,,,222
"MAR","rn_mar_status","mariculture status","[KL to do and fill in]","6A","status","GL_NCEAS_MAR_Status_v2012a_lyr.csv","rgn_id",,,,"status",,TRUE,0,1,TRUE,,,,222
"MAR","rn_mar_trend","mariculture trend","[KL to do and fill in]","6A","trend","GL_NCEAS_MAR_Trend_v2012a_lyr.csv","rgn_id",,,,"trend",,TRUE,-0.54,0.29,FALSE,,,,222
"NP","rnky_np_harvest_relative","Natural Products model variable","harvest (Hp) by product (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)","6C","score","np_harvest_relative_v2013a_updated_lyr_NAmanualoverride.csv","rgn_id",,"product","year","score",,TRUE,0,1,TRUE,,,,222
